
 Дата записи файла: 09-07-2021 22:41:10 
Имя файла:	80.jpg
Автор:	нет данных
Дата съемки:	09 июля 2021 Время: 04:12:31
Модель камеры:	нет данных
Диафрагма:	нет данных
Выдержка:	нет данных
ISO:	нет данных
Фокусное расстояние объектива:	нет данных
Экспокоррекция:	нет данных
Светосила:	нет данных
Изготовитель камеры:	нет данных
Экспозамер:	Нет данных
Ширина изображения:	2000
Высота изображения:	2040
Программа экспозиции:	нет данных
Размер изображения, байт:	54070
Размер изображения, Мбайт:	0.052
Авторские права:	нет данных
